requirement,methods,route,implementation_endpoint,implementation_services,executed_service_tests,observed_http_tests_and_status,evidence,limit
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes,estoque.listar_notificacoes,AcessoEmpresaService.obter_escopo|EstoqueService.listar_notificacoes,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests.test_sprint04_adversarial::test_daily_summary_counts_beyond_visual_limit_and_rolls_over_day|tests.test_sprint04_operations::test_expiry_alert_boundaries_use_brazil_calendar[-1-1-0]|tests.test_sprint04_operations::test_expiry_alert_boundaries_use_brazil_calendar[0-0-1]|tests.test_sprint04_operations::test_expiry_alert_boundaries_use_brazil_calendar[30-0-1]|tests.test_sprint04_operations::test_expiry_alert_boundaries_use_brazil_calendar[31-0-0],tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/notificacoes/<int:entrega_id>/retentar,estoque.retentar_alerta,AcessoEmpresaService.obter_escopo|AlertaService.retentar,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests.test_sprint04_adversarial::test_pretransport_security_rejection_is_retryable[allowlist]|tests.test_sprint04_adversarial::test_pretransport_security_rejection_is_retryable[tls]|tests.test_sprint04_operations::test_alert_partial_recipient_failure_only_retries_failed_delivery|tests.test_sprint04_operations::test_alert_transport_timeout_is_uncertain_and_not_resent|tests.test_sprint04_operations::test_simultaneous_retries_send_each_delivery_once,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401|tests/test_sprint04_adversarial.py::test_alert_retry_enforces_live_company_and_permission[gerenciar_alerta_estoque]:POST:403|tests/test_sprint04_adversarial.py::test_alert_retry_enforces_live_company_and_permission[visualizar_todas_empresas]:POST:400,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,PUT,/api/estoque/notificacoes/configuracao,estoque.atualizar_configuracao_alerta,AcessoEmpresaService.obter_escopo|EstoqueService.atualizar_configuracao_alerta,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:PUT:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:PUT:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:PUT:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:PUT:401|tests/test_sprint04_operations.py::test_alert_history_http_scope_csrf_and_whatsapp_disabled:PUT:400,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/configuracao,estoque.obter_configuracao_alerta,AcessoEmpresaService.obter_escopo|EstoqueService.obter_configuracao_alerta,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/historico,estoque.historico_alertas,AcessoEmpresaService.obter_escopo|AlertaService.historico,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401|tests/test_sprint04_operations.py::test_alert_history_http_scope_csrf_and_whatsapp_disabled:GET:400,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/notificacoes/popup,estoque.popup_notificacoes,AcessoEmpresaService.obter_escopo|EstoqueService.obter_popup_alertas,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,POST,/api/estoque/notificacoes/processar,estoque.processar_alertas,AcessoEmpresaService.obter_escopo|AlertaService.rotina,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests.test_sprint04_adversarial::test_daily_summary_counts_beyond_visual_limit_and_rolls_over_day|tests.test_sprint04_operations::test_alerts_concurrent_queue_no_duplicate_recipients_or_daily_summary,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401|tests/test_sprint04_operations.py::test_alert_history_http_scope_csrf_and_whatsapp_disabled:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
EST-01 Estoque e alertas,GET,/api/estoque/view,estoque.pagina,template/decorator/helper/consulta direta,,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:302|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-02 Lancamentos e fechamento,GET,/api/financeiro/auxiliares,financeiro.auxiliares,AcessoEmpresaService.obter_escopo|FinanceiroService.listar_auxiliares,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission|tests.test_sprint07_audit::test_operational_lookup_preserves_imported_deactivation[categorias_financeiras-CategoriaFinanceira-row1]|tests.test_sprint07_audit::test_operational_lookup_preserves_imported_deactivation[formas_pagamento-FormaPagamento-row0],tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FORA-01 Bancario,POST,/api/financeiro/boletos,boleto.criar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.criar_boleto,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos,boleto.listar_boletos,AcessoEmpresaService.obter_escopo|BoletoService.listar_boletos,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/<int:boleto_id>,boleto.buscar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.buscar_boleto,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/baixar,boleto.baixar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.baixar_boleto,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/consultar-status,boleto.consultar_status_boleto,AcessoEmpresaService.obter_escopo|BoletoService.consultar_status_bancario,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/recalcular-juros,boleto.recalcular_juros,AcessoEmpresaService.obter_escopo|BoletoService.recalcular_juros_multa,tests.test_boleto_service::test_recalcular_juros_multa_nao_reaplica_total_de_forma_cumulativa|tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/registrar,boleto.registrar_boleto,AcessoEmpresaService.obter_escopo|BoletoService.registrar_boleto,tests.test_boleto_service::test_registrar_boleto_atualiza_status_bancario_e_preserva_status_interno|tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/<int:boleto_id>/retorno,boleto.processar_retorno_boleto,AcessoEmpresaService.obter_escopo|BoletoService.processar_retorno_bancario,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/bancos-emissores,boleto.criar_banco_emissor,AcessoEmpresaService.obter_escopo|BancoEmissorService.criar_banco_emissor,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/bancos-emissores,boleto.listar_bancos_emissores,AcessoEmpresaService.obter_escopo|BoletoService.listar_bancos_emissores,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/configuracao-asaas,boleto.obter_configuracao_asaas,AcessoEmpresaService.obter_escopo|BoletoService.obter_configuracao_asaas,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,PUT,/api/financeiro/boletos/configuracao-asaas/<int:empresa_id>,boleto.atualizar_configuracao_asaas,AcessoEmpresaService.obter_escopo|BoletoService.atualizar_configuracao_asaas,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:PUT:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:PUT:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:PUT:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:PUT:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,POST,/api/financeiro/boletos/configuracoes-parcelamento,boleto.criar_configuracao_parcelamento,AcessoEmpresaService.obter_escopo|BancoEmissorService.criar_configuracao_parcelamento,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[missing_csrf]:POST:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:POST:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:POST:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
FORA-01 Bancario,GET,/api/financeiro/boletos/configuracoes-parcelamento,boleto.listar_configuracoes_parcelamento,AcessoEmpresaService.obter_escopo|BoletoService.listar_configuracoes_parcelamento,tests.test_sprint02_security::test_cross_tenant_foreign_keys_and_company_admin_scope|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[funcionarios-limite_funcionarios-1]|tests.test_sprint02_security::test_import_quota_partial_rows_updates_and_password_policy[produtos-limite_produtos-0]|tests.test_sprint02_security::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[anonymous]:GET:401|tests/test_sprint02_adversarial.py::test_every_api_method_enforces_auth_scope_and_csrf[wrong_scope]:GET:403|tests/test_sprint02_security.py::test_every_api_requires_auth_except_health_and_disabled_webhook:GET:401,regression/junit.xml|retest/junit.xml|regression/http-route-coverage.json|auditoria-modulos.md|auditoria-ui.md,Static service linkage is not route-level HTTP coverage; see audit and browser evidence. Fora do escopo funcional; testes existentes preservados
